Tips have not been separated into title and body yet,,
CATEGORY,TIP TITLE (optional),TIP BODY
Home Cooking,"Keep track of what’s in your kitchen. Plan meals according to what you have, and what’s expiring soon.",
Home Cooking,Cook just enough. Determine the amount to be cooked with the diners’ appetites and eating habits in mind.,
Home Cooking,Use off-cuts or the equivalent. Off-cuts of meat and vegetable stems or roots can be used to make stocks. Citrus fruit rinds and zest can add flavour to other dishes.,
Home Cooking,"Share. Pack any excess food for your guests, friends or neighbours.",
Home Cooking,"Cook a “use-it-up” meal every week. Use only what’s already in your kitchen, including leftovers.",
Home Cooking,"“The recipe only requires egg whites / vegetable leaves / etc.” Use the remaining parts (yolks, stalks, etc) in a different dish, rather than throw them away.",
Home Cooking,“I ruined the dish. Throw it away!” Avoid being distracted by your TV or mobile phone while cooking.,
Home Cooking,Check your kitchen before going grocery shopping. This prevents duplicate purchases.,
Home Cooking,Plan your purchases ahead. Make a shopping list and keep to it.,
Home Cooking,"Look past the imperfections. Odd-looking, bruised and blemished fruits and vegetables can be trimmed and used for cooking.",
Home Cooking,"“I rarely visit the supermarket, so I better stock up.” Prepare a shopping list. Avoid buying a lot of perishables.",
Home Cooking,"“The jumbo pack was only $0.50 more.” Buying a larger size may seem more economical, but it’s not if you don’t eventually use all of it.",
Home Cooking,"""It was on offer."" Items on offer may be expiring soon. Buy only if you will consume it before expiry.",
Home Cooking,Store it correctly. Follow the storage instructions on the product’s packaging. Some items must be kept in the fridge after opening.,
Home Cooking,"Check your fridge. The chiller operates best between 0°C and 4°C, and the freezer at -18°C and below.",
Home Cooking,"Store better. Chips, crackers and cereals last the longest when kept in airtight containers. Airtight bag clips are also an affordable option.",
Home Cooking,"Practise “first to expire, first out.” Place products that are nearer to their expiry dates at the front of the fridge, freezer or cabinet. This reminds you to use them as soon as possible.",
Home Cooking,Use the freezer. Box up leftovers by the portion and freeze them so that they last longer and can be reheated easily for the next meal.,
Home Cooking,"“This food has been stored for too long, so I’ll throw it away.” Label and date any food that you store, so that you’ll know when to consume it.",
Home Cooking,Keep garlic and onions fresh. Put garlic and onions in mesh bags (e.g. unused stockings) to keep them fresh.,
Home Cooking,Prevent bananas from ripening too fast. Wrap the stem of bananas with a plastic wrap to keep them for a longer time.,
Home Cooking,"Let celery last longer. Trim the leafy tops off celery, then wrap the trimmed celery tightly in aluminium foil and refrigerate it so it stays fresh for a longer time. Save the leaves for a tasty salad meal.",
Home Cooking,"Make full use of chocolate spread. Finished your chocolate spread? Pour some warm milk into a jar, cap it, and shake it up for a delicious cup of hot cocoa.",
